"By administrative divisions(eup, myeon, dong)","Item","UNIT","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year",
"Total for dongs","Female[Person]","Person","51836","69756","88099","107134","120918","129315","137121",
"Total for dongs","Korean - total[Person]","Person","100281","135080","170788","208109","234683","251025","266351",
"Total for dongs","Korean - male[Person]","Person","48809","65796","83271","101769","114719","122678","130206",
"Total for dongs","Korean - Female[Person]","Person","51472","69284","87517","106340","119964","128347","136145",
"Total for dongs","Foreigner-Total[Person]","Person","818","894","1037","1366","1707","1789","1726",
"Total for dongs","Foreigner-Male[Person]","Person","454","422","455","572","753","821","750",
"Total for dongs","Foreigner-Female[Person]","Person","364","472","582","794","954","968","976",
"Total for dongs","Household-Total[households]","households","35144","47111","61101","75855","86935","93288","100930",
"Total for dongs","Type of occupancy[households]","households","34919","46868","60851","75569","86609","92950","100571",
"Total for dongs","Institutional households[households]","households","6","6","5","6","7","8","10",
"Total for dongs","Foreigner household[households]","households","219","237","245","280","319","330","349",
"Total for dongs","Housing units-Total[Housing]","Housing","46475","52234","69665","84072","96892","101509","108691",
"Total for dongs","Detached dwelling[Housing]","Housing","56","103","166","240","367","515","627",
"Total for dongs","Apartment[Housing]","Housing","46339","52051","69419","83645","96332","100801","107865",
"Total for dongs","Row house[Housing]","Housing","80","80","80","187","187","187","187",
"Total for dongs","Apartment unit ina private house[Housing]","Housing","X","X","X","X","6","6","12",
"Total for dongs","House within commercial building[Housing]","Housing","X","X","X","X","X","X","X",
"Total for dongs","Living quaters other than housing unit[Housing]","Housing","900","1272","1568","1500","1724","1809","2037",
"Sejong-si","Total population[Person]","Person","204088","242507","276589","312374","338136","353933","366227",
"Sejong-si","Male[Person]","Person","103210","122648","139347","157289","170148","177939","183616",
"Sejong-si","Female[Person]","Person","100878","119859","137242","155085","167988","175994","182611",
"Sejong-si","Korean - total[Person]","Person","199617","237672","271299","305888","330307","346689","359236",
"Sejong-si","Korean - male[Person]","Person","100455","119765","136217","153402","165288","173541","179460",
"Sejong-si","Korean - Female[Person]","Person","99162","117907","135082","152486","165019","173148","179776",
"Sejong-si","Foreigner-Total[Person]","Person","4471","4835","5290","6486","7829","7244","6991",
"Sejong-si","Foreigner-Male[Person]","Person","2755","2883","3130","3887","4860","4398","4156",
"Sejong-si","Foreigner-Female[Person]","Person","1716","1952","2160","2599","2969","2846","2835",
"Sejong-si","Household-Total[households]","households","76419","91854","105932","120629","131679","141133","147347",
"Sejong-si","Type of occupancy[households]","households","75219","90413","104325","119029","129664","139106","145295",
"Sejong-si","Institutional households[households]","households","65","67","89","102","102","120","96",
"Sejong-si","Foreigner household[households]","households","1135","1374","1518","1498","1913","1907","1956",
"Sejong-si","Housing units-Total[Housing]","Housing","81130","86607","104448","118959","132257","136887","143798",
"Sejong-si","Detached dwelling[Housing]","Housing","15696","15688","15990","16099","16168","16178","16015",
"Sejong-si","Apartment[Housing]","Housing","62274","67773","85256","99512","112722","117312","124375",
"Sejong-si","Row house[Housing]","Housing","997","997","1006","1113","1113","1142","1143",
"Sejong-si","Apartment unit ina private house[Housing]","Housing","1499","1499","1506","1531","1547","1547","1553",
"Sejong-si","House within commercial building[Housing]","Housing","664","650","690","704","707","708","712",
"Sejong-si","Living quaters other than housing unit[Housing]","Housing","2112","2662","2999","2983","3204","3376","3645",
"Gyeonggi-do","Total population[Person]","Person","12479061","12671956","12851601","13103188","13300900","13511676","13652529",
"Gyeonggi-do","Male[Person]","Person","6309661","6405301","6502723","6635106","6740448","6828367","6898723",
"Gyeonggi-do","Female[Person]","Person","6169400","6266655","6348878","6468082","6560452","6683309","6753806",
"Gyeonggi-do","Korean - total[Person]","Person","12026429","12199257","12354512","12544991","12706105","12928214","13081325",
"Gyeonggi-do","Korean - male[Person]","Person","6039800","6122936","6206756","6301846","6385194","6489718","6571118",
"Gyeonggi-do","Korean - Female[Person]","Person","5986629","6076321","6147756","6243145","6320911","6438496","6510207",
"Gyeonggi-do","Foreigner-Total[Person]","Person","452632","472699","497089","558197","594795","583462","571204",
"Gyeonggi-do","Foreigner-Male[Person]","Person","269861","282365","295967","333260","355254","338649","327605",
"Gyeonggi-do","Foreigner-Female[Person]","Person","182771","190334","201122","224937","239541","244813","243599",
"Gyeonggi-do","Household-Total[households]","households","4537581","4647205","4773632","4934208","5097857","5294836","5492783",
"Gyeonggi-do","Type of occupancy[households]","households","4384742","4484424","4602950","4751497","4907660","5098431","5290662",
"Gyeonggi-do","Institutional households[households]","households","3879","3094","3948","4247","4151","4080","4418",
"Gyeonggi-do","Foreigner household[households]","households","148960","159687","166734","178464","186046","192325","197703",
"Gyeonggi-do","Housing units-Total[Housing]","Housing","3693557","3814834","3949829","4169100","4354776","4495115","4608126",
"Gyeonggi-do","Detached dwelling[Housing]","Housing","498250","502993","504182","505213","504227","505382","504343",
"Gyeonggi-do","Apartment[Housing]","Housing","2502091","2577259","2676037","2860249","3021258","3146667","3254817",
"Gyeonggi-do","Row house[Housing]","Housing","121960","120602","124272","126516","128890","130354","132170",
"Gyeonggi-do","Apartment unit ina private house[Housing]","Housing","538971","581008","611471","643052","665613","677652","682093",
"Gyeonggi-do","House within commercial building[Housing]","Housing","32285","32972","33867","34070","34788","35060","34703",
"Gyeonggi-do","Living quaters other than housing unit[Housing]","Housing","163742","193550","213218","229894","260676","298634","330735",
"Total for eups","Total population[Person]","Person","1273396","1329033","1357641","1425450","1459827","1488992","1535737",
"Total for eups","Male[Person]","Person","657110","688546","704740","741872","760526","774958","797737",
"Total for eups","Female[Person]","Person","616286","640487","652901","683578","699301","714034","738000",
"Total for eups","Korean - total[Person]","Person","1215199","1265292","1290052","1344687","1372375","1405270","1452906",
"Total for eups","Korean - male[Person]","Person","618280","645423","659599","688086","702336","720626","745126",
"Total for eups","Korean - Female[Person]","Person","596919","619869","630453","656601","670039","684644","707780",
"Total for eups","Foreigner-Total[Person]","Person","58197","63741","67589","80763","87452","83722","82831",
"Total for eups","Foreigner-Male[Person]","Person","38830","43123","45141","53786","58190","54332","52611",
"Total for eups","Foreigner-Female[Person]","Person","19367","20618","22448","26977","29262","29390","30220",
"Total for eups","Household-Total[households]","households","458354","483724","500459","533440","554215","580183","613853",
"Total for eups","Type of occupancy[households]","households","442687","465786","481501","511954","531700","556629","588865",
"Total for eups","Institutional households[households]","households","519","462","636","713","678","632","702",
"Total for eups","Foreigner household[households]","households","15148","17476","18322","20773","21837","22922","24286",
"Total for eups","Housing units-Total[Housing]","Housing","411988","436333","451813","488670","518902","538176","557288",
"Total for eups","Detached dwelling[Housing]","Housing","72516","75583","76493","81679","83349","83897","86119",
"Total for eups","Apartment[Housing]","Housing","258585","272061","280521","298358","317600","332697","346359",
"Total for eups","Row house[Housing]","Housing","18936","19325","19908","21749","23602","24238","24884",
"Total for eups","Apartment unit ina private house[Housing]","Housing","57234","64640","70085","81694","88908","91815","94271",
"Total for eups","House within commercial building[Housing]","Housing","4717","4724","4806","5190","5443","5529","5655",
"Total for eups","Living quaters other than housing unit[Housing]","Housing","15676","20534","21449","22893","23494","24359","25971",
"Total for myeons","Total population[Person]","Person","868833","860715","881231","829967","807497","810588","787819",
"Total for myeons","Male[Person]","Person","471517","468157","480667","456511","448730","447488","434470",
"Total for myeons","Female[Person]","Person","397316","392558","400564","373456","358767","363100","353349",
"Total for myeons","Korean - total[Person]","Person","786417","777441","795456","738161","710653","721331","704947",
"Total for myeons","Korean - male[Person]","Person","409658","405076","415579","386393","374316","379102","371778",
"Total for myeons","Korean - Female[Person]","Person","376759","372365","379877","351768","336337","342229","333169",
"Total for myeons","Foreigner-Total[Person]","Person","82416","83274","85775","91806","96844","89257","82872",
"Total for myeons","Foreigner-Male[Person]","Person","61859","63081","65088","70118","74414","68386","62692",
"Total for myeons","Foreigner-Female[Person]","Person","20557","20193","20687","21688","22430","20871","20180",
"Total for myeons","Household-Total[households]","households","320690","322888","335945","320946","314331","327534","333593",
"Total for myeons","Type of occupancy[households]","households","301988","302895","315260","300253","293320","306135","311997",
"Total for myeons","Institutional households[households]","households","1064","818","1051","1054","1064","1107","1025",
"Total for myeons","Foreigner household[households]","households","17638","19175","19634","19639","19947","20292","20571",
"Total for myeons","Housing units-Total[Housing]","Housing","263682","268350","279451","273026","271478","279513","279734",
"Total for myeons","Detached dwelling[Housing]","Housing","159994","160960","162385","160262","162386","164344","164169",
"Total for myeons","Apartment[Housing]","Housing","55320","55981","62257","61797","57854","62468","62020",
"Total for myeons","Row house[Housing]","Housing","9887","10010","10110","9082","9029","9199","9286",
"Total for myeons","Apartment unit ina private house[Housing]","Housing","32259","35074","38205","35658","35784","36898","37718",
"Total for myeons","House within commercial building[Housing]","Housing","6222","6325","6494","6227","6425","6604","6541",
"Total for myeons","Living quaters other than housing unit[Housing]","Housing","21505","27569","29605","28886","29411","30036","30790",
"Total for dongs","Total population[Person]","Person","10336832","10482208","10612729","10847771","11033576","11212096","11328973",
"Total for dongs","Male[Person]","Person","5181034","5248598","5317316","5436723","5531192","5605921","5666516",
"Total for dongs","Female[Person]","Person","5155798","5233610","5295413","5411048","5502384","5606175","5662457",
"Total for dongs","Korean - total[Person]","Person","10024813","10156524","10269004","10462143","10623077","10801613","10923472",
"Total for dongs","Korean - male[Person]","Person","5011862","5072437","5131578","5227367","5308542","5389990","5454214",
"Total for dongs","Korean - Female[Person]","Person","5012951","5084087","5137426","5234776","5314535","5411623","5469258",
"Total for dongs","Foreigner-Total[Person]","Person","312019","325684","343725","385628","410499","410483","405501",
"Total for dongs","Foreigner-Male[Person]","Person","169172","176161","185738","209356","222650","215931","212302",
"Total for dongs","Foreigner-Female[Person]","Person","142847","149523","157987","176272","187849","194552","193199",
"Total for dongs","Household-Total[households]","households","3758537","3840593","3937228","4079822","4229311","4387119","4545337",
"Total for dongs","Type of occupancy[households]","households","3640067","3715743","3806189","3939290","4082640","4235667","4389800",
"Total for dongs","Institutional households[households]","households","2296","1814","2261","2480","2409","2341","2691",
"Total for dongs","Foreigner household[households]","households","116174","123036","128778","138052","144262","149111","152846",
"Total for dongs","Housing units-Total[Housing]","Housing","3017887","3110151","3218565","3407404","3564396","3677426","3771104",
"Total for dongs","Detached dwelling[Housing]","Housing","265740","266450","265304","263272","258492","257141","254055",
"Total for dongs","Apartment[Housing]","Housing","2188186","2249217","2333259","2500094","2645804","2751502","2846438",
"Total for dongs","Row house[Housing]","Housing","93137","91267","94254","95685","96259","96917","98000",
"Total for dongs","Apartment unit ina private house[Housing]","Housing","449478","481294","503181","525700","540921","548939","550104",
"Total for dongs","House within commercial building[Housing]","Housing","21346","21923","22567","22653","22920","22927","22507",
"Total for dongs","Living quaters other than housing unit[Housing]","Housing","126561","145447","162164","178115","207771","244239","273974",
"Suwon-si","Total population[Person]","Person","1194313","1207032","1216996","1218843","1214986","1210150","1208337",
"Suwon-si","Male[Person]","Person","602702","609777","615690","616240","614493","609616","609383",
"Suwon-si","Female[Person]","Person","591611","597255","601306","602603","600493","600534","598954",
"Suwon-si","Korean - total[Person]","Person","1151893","1161838","1168404","1165154","1158800","1154820","1154352",
"Suwon-si","Korean - male[Person]","Person","580450","585827","589882","587595","584662","581043","581519",
"Suwon-si","Korean - Female[Person]","Person","571443","576011","578522","577559","574138","573777","572833",
"Suwon-si","Foreigner-Total[Person]","Person","42420","45194","48592","53689","56186","55330","53985",
"Suwon-si","Foreigner-Male[Person]","Person","22252","23950","25808","28645","29831","28573","27864",
"Suwon-si","Foreigner-Female[Person]","Person","20168","21244","22784","25044","26355","26757","26121",
"Suwon-si","Household-Total[households]","households","444991","454982","465209","472239","479379","488201","502923",
"Suwon-si","Type of occupancy[households]","households","427554","436304","445309","450819","457351","466089","480566",
"Suwon-si","Institutional households[households]","households","247","178","222","236","236","258","249",
"Suwon-si","Foreigner household[households]","households","17190","18500","19678","21184","21792","21854","22108",
"Suwon-si","Housing units-Total[Housing]","Housing","329765","339319","350148","365222","371665","372228","382259",
"Suwon-si","Detached dwelling[Housing]","Housing","35532","35282","34970","34469","32583","31396","30924",
"Suwon-si","Apartment[Housing]","Housing","239892","245809","252852","264809","271865","272352","281194",
"Suwon-si","Row house[Housing]","Housing","7603","7602","8456","8593","8617","8721","8900",
"Suwon-si","Apartment unit ina private house[Housing]","Housing","44209","48139","51303","54779","56042","57249","58757",
"Suwon-si","House within commercial building[Housing]","Housing","2529","2487","2567","2572","2558","2510","2484",
"Suwon-si","Living quaters other than housing unit[Housing]","Housing","11235","13493","15443","18174","20354","23335","25778",
"Jangan-gu","Total population[Person]","Person","299611","297942","295436","288719","282288","278507","277786",
"Jangan-gu","Male[Person]","Person","151312","150663","149660","146009","143174","140771","140352",
"Jangan-gu","Female[Person]","Person","148299","147279","145776","142710","139114","137736","137434",
"Jangan-gu","Korean - total[Person]","Person","292726","290238","287001","278897","271875","268549","267967",
"Jangan-gu","Korean - male[Person]","Person","147781","146639","145193","140769","137699","135646","135350",
"Jangan-gu","Korean - Female[Person]","Person","144945","143599","141808","138128","134176","132903","132617",
"Jangan-gu","Foreigner-Total[Person]","Person","6885","7704","8435","9822","10413","9958","9819",
"Jangan-gu","Foreigner-Male[Person]","Person","3531","4024","4467","5240","5475","5125","5002",
"Jangan-gu","Foreigner-Female[Person]","Person","3354","3680","3968","4582","4938","4833","4817",
"Jangan-gu","Household-Total[households]","households","107485","108169","108939","107327","107308","108181","111564",
"Jangan-gu","Type of occupancy[households]","households","104559","104948","105494","103605","103478","104418","107638",
"Jangan-gu","Institutional households[households]","households","78","69","69","71","78","82","79",
"Jangan-gu","Foreigner household[households]","households","2848","3152","3376","3651","3752","3681","3847",
"Jangan-gu","Housing units-Total[Housing]","Housing","81920","82751","84257","85588","85567","85399","87976",
"Jangan-gu","Detached dwelling[Housing]","Housing","9480","9377","9268","9074","8933","8538","8469",
"Jangan-gu","Apartment[Housing]","Housing","53902","53902","54734","55435","55140","55266","57667",
"Jangan-gu","Row house[Housing]","Housing","2053","2053","1996","1948","1760","1738","1775",
"Jangan-gu","Apartment unit ina private house[Housing]","Housing","15754","16703","17525","18403","18999","19134","19364",
"Jangan-gu","House within commercial building[Housing]","Housing","731","716","734","728","735","723","701",
"Jangan-gu","Living quaters other than housing unit[Housing]","Housing","1207","1266","1370","1356","1259","1292","1503",
"Gwonseon-gu","Total population[Person]","Person","349339","357995","364650","379834","374770","373381","368924",
"Gwonseon-gu","Male[Person]","Person","175856","180459","183913","191697","189282","188046","186179",
"Gwonseon-gu","Female[Person]","Person","173483","177536","180737","188137","185488","185335","182745",
"Gwonseon-gu","Korean - total[Person]","Person","338781","346592","351909","365133","359431","358009","354006",
"Gwonseon-gu","Korean - male[Person]","Person","170440","174611","177344","184151","181368","180309","178643",
"Gwonseon-gu","Korean - Female[Person]","Person","168341","171981","174565","180982","178063","177700","175363",
"Gwonseon-gu","Foreigner-Total[Person]","Person","10558","11403","12741","14701","15339","15372","14918",
"Gwonseon-gu","Foreigner-Male[Person]","Person","5416","5848","6569","7546","7914","7737","7536",
"Gwonseon-gu","Foreigner-Female[Person]","Person","5142","5555","6172","7155","7425","7635","7382",
"Gwonseon-gu","Household-Total[households]","households","130544","134946","139302","146956","147324","149210","151787",
"Gwonseon-gu","Type of occupancy[households]","households","126206","130273","134198","141221","141421","143231","145846",
"Gwonseon-gu","Institutional households[households]","households","52","29","33","44","41","50","45",
"Gwonseon-gu","Foreigner household[households]","households","4286","4644","5071","5691","5862","5929","5896",
"Gwonseon-gu","Housing units-Total[Housing]","Housing","98232","103325","108312","116924","119081","118970","120392",
"Gwonseon-gu","Detached dwelling[Housing]","Housing","10849","10768","10647","10508","10332","9820","9604",
"Gwonseon-gu","Apartment[Housing]","Housing","69222","72701","76587","83877","85224","84884","85776",
"Gwonseon-gu","Row house[Housing]","Housing","2196","2197","2254","2305","2299","2353","2376",
"Gwonseon-gu","Apartment unit ina private house[Housing]","Housing","15139","16848","17983","19395","20378","21070","21795",
"Gwonseon-gu","House within commercial building[Housing]","Housing","826","811","841","839","848","843","841",
"Gwonseon-gu","Living quaters other than housing unit[Housing]","Housing","1875","2047","2468","2700","3383","3997","4682",
"Paldal-gu","Total population[Person]","Person","208903","208363","206092","194299","189052","187922","195418",
"Paldal-gu","Male[Person]","Person","105184","105235","104339","98496","95973","95112","99258",
"Paldal-gu","Female[Person]","Person","103719","103128","101753","95803","93079","92810","96160",
"Paldal-gu","Korean - total[Person]","Person","191769","190431","187184","174315","168601","167566","175662",
"Paldal-gu","Korean - male[Person]","Person","96088","95614","94215","87626","84799","84182","88559",
"Paldal-gu","Korean - Female[Person]","Person","95681","94817","92969","86689","83802","83384","87103",
"Paldal-gu","Foreigner-Total[Person]","Person","17134","17932","18908","19984","20451","20356","19756",
"Paldal-gu","Foreigner-Male[Person]","Person","9096","9621","10124","10870","11174","10930","10699",
"Paldal-gu","Foreigner-Female[Person]","Person","8038","8311","8784","9114","9277","9426","9057",
"Paldal-gu","Household-Total[households]","households","85813","86814","87405","83868","83269","84883","91264",
"Paldal-gu","Type of occupancy[households]","households","78411","78986","79095","75222","74470","76086","82531",
"Paldal-gu","Institutional households[households]","households","71","46","55","62","65","70","62",
"Paldal-gu","Foreigner household[households]","households","7331","7782","8255","8584","8734","8727","8671",
"Paldal-gu","Housing units-Total[Housing]","Housing","55865","57609","57935","59244","57334","58005","63748",
"Paldal-gu","Detached dwelling[Housing]","Housing","11399","11271","11095","10909","9256","8918","8733",
"Paldal-gu","Apartment[Housing]","Housing","30517","31208","30612","31015","31119","31810","37119",
"Paldal-gu","Row house[Housing]","Housing","1697","1695","1705","1839","1927","1999","2119",
"Paldal-gu","Apartment unit ina private house[Housing]","Housing","11485","12683","13757","14709","14297","14573","15077",
"Paldal-gu","House within commercial building[Housing]","Housing","767","752","766","772","735","705","700",
"Paldal-gu","Living quaters other than housing unit[Housing]","Housing","3721","4230","4665","5120","5510","6144","6716",
"Yeongtong-gu","Total population[Person]","Person","336460","342732","350818","355991","368876","370340","366209",
"Yeongtong-gu","Male[Person]","Person","170350","173420","177778","180038","186064","185687","183594",
"Yeongtong-gu","Female[Person]","Person","166110","169312","173040","175953","182812","184653","182615",
"Yeongtong-gu","Korean - total[Person]","Person","328617","334577","342310","346809","358893","360696","356717",
"Yeongtong-gu","Korean - male[Person]","Person","166141","168963","173130","175049","180796","180906","178967",
"Yeongtong-gu","Korean - Female[Person]","Person","162476","165614","169180","171760","178097","179790","177750",
"Yeongtong-gu","Foreigner-Total[Person]","Person","7843","8155","8508","9182","9983","9644","9492",
"Yeongtong-gu","Foreigner-Male[Person]","Person","4209","4457","4648","4989","5268","4781","4627",
"Yeongtong-gu","Foreigner-Female[Person]","Person","3634","3698","3860","4193","4715","4863","4865",
"Yeongtong-gu","Household-Total[households]","households","121149","125053","129563","134088","141478","145927","148308",
"Yeongtong-gu","Type of occupancy[households]","households","118378","122097","126522","130771","137982","142354","144551",
"Yeongtong-gu","Institutional households[households]","households","46","34","65","59","52","56","63",
"Yeongtong-gu","Foreigner household[households]","households","2725","2922","2976","3258","3444","3517","3694",
"Yeongtong-gu","Housing units-Total[Housing]","Housing","93748","95634","99644","103466","109683","109854","110143",
"Yeongtong-gu","Detached dwelling[Housing]","Housing","3804","3866","3960","3978","4062","4120","4118",
"Yeongtong-gu","Apartment[Housing]","Housing","86251","87998","90919","94482","100382","100392","100632",
"Yeongtong-gu","Row house[Housing]","Housing","1657","1657","2501","2501","2631","2631","2630",
"Yeongtong-gu","Apartment unit ina private house[Housing]","Housing","1831","1905","2038","2272","2368","2472","2521",
"Yeongtong-gu","House within commercial building[Housing]","Housing","205","208","226","233","240","239","242",
"Yeongtong-gu","Living quaters other than housing unit[Housing]","Housing","4432","5950","6940","8998","10202","11902","12877",
"Seongnam-si","Total population[Person]","Person","948757","951518","944297","931393","919895","922025","913482",
"Seongnam-si","Male[Person]","Person","470483","470829","467176","461018","455369","455702","451948",
"Seongnam-si","Female[Person]","Person","478274","480689","477121","470375","464526","466323","461534",
"Seongnam-si","Korean - total[Person]","Person","925444","928132","921073","905995","893188","896611","889568",
"Seongnam-si","Korean - male[Person]","Person","458999","459385","455877","448306","441870","443432","440440",
"Seongnam-si","Korean - Female[Person]","Person","466445","468747","465196","457689","451318","453179","449128",
"Seongnam-si","Foreigner-Total[Person]","Person","23313","23386","23224","25398","26707","25414","23914",
"Seongnam-si","Foreigner-Male[Person]","Person","11484","11444","11299","12712","13499","12270","11508",
"Seongnam-si","Foreigner-Female[Person]","Person","11829","11942","11925","12686","13208","13144","12406",
"Seongnam-si","Household-Total[households]","households","365646","368992","369366","369346","371437","379640","384934",
"Seongnam-si","Type of occupancy[households]","households","355499","358928","359515","359322","361413","369585","375080",
"Seongnam-si","Institutional households[households]","households","145","100","132","149","120","126","149",
"Seongnam-si","Foreigner household[households]","households","10002","9964","9719","9875","9904","9929","9705",
"Seongnam-si","Housing units-Total[Housing]","Housing","246604","252344","257047","255925","257377","262573","268934",
"Seongnam-si","Detached dwelling[Housing]","Housing","37900","37972","37784","35534","33268","33228","33225",
"Seongnam-si","Apartment[Housing]","Housing","164893","169957","174019","175174","178415","183364","189887",
"Seongnam-si","Row house[Housing]","Housing","10110","10122","10174","10469","10754","10835","10636",
"Seongnam-si","Apartment unit ina private house[Housing]","Housing","32036","32695","33399","33089","33335","33550","33623",
"Seongnam-si","House within commercial building[Housing]","Housing","1665","1598","1671","1659","1605","1596","1563",
"Seongnam-si","Living quaters other than housing unit[Housing]","Housing","21365","24818","27088","28991","30439","32696","33699",
"Sujeong-gu","Total population[Person]","Person","225967","236957","241862","240405","241256","249044","244058",
"Sujeong-gu","Male[Person]","Person","114620","119900","122336","121508","121729","125587","123147",
"Sujeong-gu","Female[Person]","Person","111347","117057","119526","118897","119527","123457","120911",
"Sujeong-gu","Korean - total[Person]","Person","212959","223546","228035","225403","225627","233811","229653",
"Sujeong-gu","Korean - male[Person]","Person","108078","113200","115455","113898","113783","117966","115890",
"Sujeong-gu","Korean - Female[Person]","Person","104881","110346","112580","111505","111844","115845","113763",
"Sujeong-gu","Foreigner-Total[Person]","Person","13008","13411","13827","15002","15629","15233","14405",
"Sujeong-gu","Foreigner-Male[Person]","Person","6542","6700","6881","7610","7946","7621","7257",
"Sujeong-gu","Foreigner-Female[Person]","Person","6466","6711","6946","7392","7683","7612","7148",
"Sujeong-gu","Household-Total[households]","households","96380","100844","103143","103414","105491","111225","111352",
"Sujeong-gu","Type of occupancy[households]","households","90372","94646","96984","96967","98955","104775","105013",
"Sujeong-gu","Institutional households[households]","households","33","31","38","47","39","37","39",
"Sujeong-gu","Foreigner household[households]","households","5975","6167","6121","6400","6497","6413","6300",
"Sujeong-gu","Housing units-Total[Housing]","Housing","47872","52989","56148","57636","59333","64003","65159",
"Sujeong-gu","Detached dwelling[Housing]","Housing","19747","19702","19630","19481","18020","17980","17970",
"Sujeong-gu","Apartment[Housing]","Housing","16010","20911","23876","25031","28261","32932","34064",
"Sujeong-gu","Row house[Housing]","Housing","609","609","590","948","985","1006","1006",
"Sujeong-gu","Apartment unit ina private house[Housing]","Housing","10900","11186","11431","11552","11460","11490","11541",
"Sujeong-gu","House within commercial building[Housing]","Housing","606","581","621","624","607","595","578",
"Sujeong-gu","Living quaters other than housing unit[Housing]","Housing","1682","1694","2292","3144","3451","4039","4261",
"Jungwon-gu","Total population[Person]","Person","244451","236284","226657","221034","216005","211880","209170",
"Jungwon-gu","Male[Person]","Person","123308","119038","114220","111506","108919","106618","105374",
"Jungwon-gu","Female[Person]","Person","121143","117246","112437","109528","107086","105262","103796",
"Jungwon-gu","Korean - total[Person]","Person","239668","231599","222291","216448","211236","207373","205019",
"Jungwon-gu","Korean - male[Person]","Person","121002","116792","112137","109288","106644","104603","103528",
"Jungwon-gu","Korean - Female[Person]","Person","118666","114807","110154","107160","104592","102770","101491",
"Jungwon-gu","Foreigner-Total[Person]","Person","4783","4685","4366","4586","4769","4507","4151",
"Jungwon-gu","Foreigner-Male[Person]","Person","2306","2246","2083","2218","2275","2015","1846",
"Jungwon-gu","Foreigner-Female[Person]","Person","2477","2439","2283","2368","2494","2492","2305",
"Jungwon-gu","Household-Total[households]","households","96362","94043","90622","90402","90746","91539","92871",
"Jungwon-gu","Type of occupancy[households]","households","94179","91969","88749","88527","88878","89721","91134",
"Jungwon-gu","Institutional households[households]","households","52","36","51","52","38","50","62",
"Jungwon-gu","Foreigner household[households]","households","2131","2038","1822","1823","1830","1768","1675",
"Jungwon-gu","Housing units-Total[Housing]","Housing","61551","61819","62851","60070","59647","59742","60468",
"Jungwon-gu","Detached dwelling[Housing]","Housing","13114","13087","12929","10807","9958","9938","9911",
"Jungwon-gu","Apartment[Housing]","Housing","27284","27342","27938","27945","27942","27933","28717",
"Jungwon-gu","Row house[Housing]","Housing","670","682","742","679","938","967","963",
"Jungwon-gu","Apartment unit ina private house[Housing]","Housing","19655","19922","20429","19843","20049","20145","20129",
"Jungwon-gu","House within commercial building[Housing]","Housing","828","786","813","796","760","759","748",
"Jungwon-gu","Living quaters other than housing unit[Housing]","Housing","2134","2604","3255","3982","4908","5789","6293",
"Bundang-gu","Total population[Person]","Person","478339","478277","475778","469954","462634","461101","460254",
"Bundang-gu","Male[Person]","Person","232555","231891","230620","228004","224721","223497","223427",
"Bundang-gu","Female[Person]","Person","245784","246386","245158","241950","237913","237604","236827",
"Bundang-gu","Korean - total[Person]","Person","472817","472987","470747","464144","456325","455427","454896",
"Bundang-gu","Korean - male[Person]","Person","229919","229393","228285","225120","221443","220863","221022",
"Bundang-gu","Korean - Female[Person]","Person","242898","243594","242462","239024","234882","234564","233874",
"Bundang-gu","Foreigner-Total[Person]","Person","5522","5290","5031","5810","6309","5674","5358",
"Bundang-gu","Foreigner-Male[Person]","Person","2636","2498","2335","2884","3278","2634","2405",
"Bundang-gu","Foreigner-Female[Person]","Person","2886","2792","2696","2926","3031","3040","2953",
"Bundang-gu","Household-Total[households]","households","172904","174105","175601","175530","175200","176876","180711",
"Bundang-gu","Type of occupancy[households]","households","170948","172313","173782","173828","173580","175089","178933",
"Bundang-gu","Institutional households[households]","households","60","33","43","50","43","39","48",
"Bundang-gu","Foreigner household[households]","households","1896","1759","1776","1652","1577","1748","1730",
"Bundang-gu","Housing units-Total[Housing]","Housing","137181","137536","138048","138219","138397","138828","143307",
"Bundang-gu","Detached dwelling[Housing]","Housing","5039","5183","5225","5246","5290","5310","5344",
"Bundang-gu","Apartment[Housing]","Housing","121599","121704","122205","122198","122212","122499","127106",
"Bundang-gu","Row house[Housing]","Housing","8831","8831","8842","8842","8831","8862","8667",
"Bundang-gu","Apartment unit ina private house[Housing]","Housing","1481","1587","1539","1694","1826","1915","1953",
"Bundang-gu","House within commercial building[Housing]","Housing","231","231","237","239","238","242","237",
"Bundang-gu","Living quaters other than housing unit[Housing]","Housing","17549","20520","21541","21865","22080","22868","23145",
"Uijeongbu-si","Total population[Person]","Person","421579","424722","426530","432286","440357","449572","455454",
"Uijeongbu-si","Male[Person]","Person","208264","209604","210519","213199","216737","221225","223988",
"Uijeongbu-si","Female[Person]","Person","213315","215118","216011","219087","223620","228347","231466",
"Uijeongbu-si","Korean - total[Person]","Person","416707","419838","421263","426103","433491","442884","448866",
"Uijeongbu-si","Korean - male[Person]","Person","206006","207303","208022","210212","213519","218202","221045",
"Uijeongbu-si","Korean - Female[Person]","Person","210701","212535","213241","215891","219972","224682","227821",
"Uijeongbu-si","Foreigner-Total[Person]","Person","4872","4884","5267","6183","6866","6688","6588",
"Uijeongbu-si","Foreigner-Male[Person]","Person","2258","2301","2497","2987","3218","3023","2943",
"Uijeongbu-si","Foreigner-Female[Person]","Person","2614","2583","2770","3196","3648","3665","3645",
"Uijeongbu-si","Household-Total[households]","households","156212","158836","161772","166468","172232","180351","187962",
