"By administrative divisions(eup, myeon, dong)","Item","UNIT","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year",
"Total for dongs","Foreigner-Total[Person]","Person","986249","1017290","1068082","1188850","1277488","1230602","1202025",
"Total for dongs","Foreigner-Male[Person]","Person","526770","540070","562975","628597","674082","629908","610162",
"Total for dongs","Foreigner-Female[Person]","Person","459479","477220","505107","560253","603406","600694","591863",
"Total for dongs","Household-Total[households]","households","15842155","16028945","16268448","16526327","16868937","17335523","17773960",
"Total for dongs","Type of occupancy[households]","households","15487901","15662058","15881216","16117258","16436952","16896701","17322645",
"Total for dongs","Institutional households[households]","households","9991","7824","9617","10527","10198","9798","10880",
"Total for dongs","Foreigner household[households]","households","344263","359063","377615","398542","421787","429024","440435",
"Total for dongs","Housing units-Total[Housing]","Housing","12770134","13005559","13307911","13704654","14106481","14427931","14662672",
"Total for dongs","Detached dwelling[Housing]","Housing","1904640","1890792","1863823","1839708","1806265","1778105","1749448",
"Total for dongs","Apartment[Housing]","Housing","8606848","8766630","9026295","9389245","9776322","10091508","10336734",
"Total for dongs","Row house[Housing]","Housing","387477","390878","396524","399372","400381","405060","407359",
"Total for dongs","Apartment unit ina private house[Housing]","Housing","1723960","1811782","1871623","1926307","1971608","2002074","2019951",
"Total for dongs","House within commercial building[Housing]","Housing","147209","145477","149646","150022","151905","151184","149180",
"Total for dongs","Living quaters other than housing unit[Housing]","Housing","479605","542139","614444","658222","727256","822210","910988",
"Seoul","Total population[Person]","Person","9904312","9805506","9741871","9673936","9639541","9586195","9472127",
"Seoul","Male[Person]","Person","4859535","4799115","4757642","4718972","4690440","4647733","4584251",
"Seoul","Female[Person]","Person","5044777","5006391","4984229","4954964","4949101","4938462","4887876",
"Seoul","Korean - total[Person]","Person","9567196","9470339","9397944","9299511","9249364","9219741","9125047",
"Seoul","Korean - male[Person]","Person","4694317","4636374","4592393","4536552","4500878","4474343","4421687",
"Seoul","Korean - Female[Person]","Person","4872879","4833965","4805551","4762959","4748486","4745398","4703360",
"Seoul","Foreigner-Total[Person]","Person","337116","335167","343927","374425","390177","366454","347080",
"Seoul","Foreigner-Male[Person]","Person","165218","162741","165249","182420","189562","173390","162564",
"Seoul","Foreigner-Female[Person]","Person","171898","172426","178678","192005","200615","193064","184516",
"Seoul","Household-Total[households]","households","3914820","3915023","3948850","3981741","4043957","4126524","4191171",
"Seoul","Type of occupancy[households]","households","3784490","3784705","3813260","3839766","3896389","3982290","4046799",
"Seoul","Institutional households[households]","households","2261","1817","2246","2563","2328","2264","2454",
"Seoul","Foreigner household[households]","households","128069","128501","133344","139412","145240","141970","141918",
"Seoul","Housing units-Total[Housing]","Housing","2793244","2830857","2866845","2894078","2953964","3015371","3068494",
"Seoul","Detached dwelling[Housing]","Housing","355039","345269","331863","322453","315566","307075","299473",
"Seoul","Apartment[Housing]","Housing","1636896","1641383","1665922","1679639","1720691","1772670","1818214",
"Seoul","Row house[Housing]","Housing","117235","116106","114352","112372","110968","110562","110239",
"Seoul","Apartment unit ina private house[Housing]","Housing","654372","699446","724932","749971","777205","796066","812403",
"Seoul","House within commercial building[Housing]","Housing","29702","28653","29776","29643","29534","28998","28165",
"Seoul","Living quaters other than housing unit[Housing]","Housing","150951","166859","194627","208223","224878","248125","270052",
"Jongno-gu","Total population[Person]","Person","161521","154398","157277","157967","154969","151291","148857",
"Jongno-gu","Male[Person]","Person","79510","75620","76670","77147","74880","73062","71367",
"Jongno-gu","Female[Person]","Person","82011","78778","80607","80820","80089","78229","77490",
"Jongno-gu","Korean - total[Person]","Person","146119","144049","146298","145911","141810","139718","137913",
"Jongno-gu","Korean - male[Person]","Person","71951","70844","71757","71611","69062","67919","66679",
"Jongno-gu","Korean - Female[Person]","Person","74168","73205","74541","74300","72748","71799","71234",
"Jongno-gu","Foreigner-Total[Person]","Person","15402","10349","10979","12056","13159","11573","10944",
"Jongno-gu","Foreigner-Male[Person]","Person","7559","4776","4913","5536","5818","5143","4688",
"Jongno-gu","Foreigner-Female[Person]","Person","7843","5573","6066","6520","7341","6430","6256",
"Jongno-gu","Household-Total[households]","households","68429","65022","66711","68180","67650","68069","68541",
"Jongno-gu","Type of occupancy[households]","households","61580","60786","62372","63773","62652","63414","63984",
"Jongno-gu","Institutional households[households]","households","106","110","124","123","113","115","109",
"Jongno-gu","Foreigner household[households]","households","6743","4126","4215","4284","4885","4540","4448",
"Jongno-gu","Housing units-Total[Housing]","Housing","43550","43554","45787","45729","46440","46859","46885",
"Jongno-gu","Detached dwelling[Housing]","Housing","13103","12991","12920","12699","12421","12259","11987",
"Jongno-gu","Apartment[Housing]","Housing","12552","12462","14507","14530","15290","15688","15775",
"Jongno-gu","Row house[Housing]","Housing","5395","5410","5451","5428","5459","5460","5490",
"Jongno-gu","Apartment unit ina private house[Housing]","Housing","11664","11872","11978","12140","12349","12540","12725",
"Jongno-gu","House within commercial building[Housing]","Housing","836","819","931","932","921","912","908",
"Jongno-gu","Living quaters other than housing unit[Housing]","Housing","4226","4488","4859","4975","5084","5663","6063",
"Jung-gu","Total population[Person]","Person","128478","128160","127896","129797","130957","128744","126310",
"Jung-gu","Male[Person]","Person","63218","62514","62195","62975","63406","62147","60657",
"Jung-gu","Female[Person]","Person","65260","65646","65701","66822","67551","66597","65653",
"Jung-gu","Korean - total[Person]","Person","118021","117960","117631","117809","118398","117252","114942",
"Jung-gu","Korean - male[Person]","Person","58223","57677","57391","57240","57381","56725","55338",
"Jung-gu","Korean - Female[Person]","Person","59798","60283","60240","60569","61017","60527","59604",
"Jung-gu","Foreigner-Total[Person]","Person","10457","10200","10265","11988","12559","11492","11368",
"Jung-gu","Foreigner-Male[Person]","Person","4995","4837","4804","5735","6025","5422","5319",
"Jung-gu","Foreigner-Female[Person]","Person","5462","5363","5461","6253","6534","6070","6049",
"Jung-gu","Household-Total[households]","households","55508","55554","56239","57318","59440","59817","61073",
"Jung-gu","Type of occupancy[households]","households","51205","51503","52208","53102","54496","55093","56116",
"Jung-gu","Institutional households[households]","households","64","78","89","105","98","96","80",
"Jung-gu","Foreigner household[households]","households","4239","3973","3942","4111","4846","4628","4877",
"Jung-gu","Housing units-Total[Housing]","Housing","37478","38311","39512","40177","41754","42234","42319",
"Jung-gu","Detached dwelling[Housing]","Housing","6436","6364","6308","6209","6035","5967","5865",
