"By administrative divisions","By age ","Item","UNIT","1960 Year","1966 Year","1970 Year","1975 Year","1980 Year","1985 Year","1990 Year","1995 Year","2000 Year","2005 Year","2010 Year",
"Dong area","Age unknown","Sex ratio","","","","","","","","","124.05","178.12","0","",
"Dong area","14 and under","Population[Person]","Person","","","","","","","","8306599","7897105","7490714","6500481",
"Dong area","14 and under","Male[Person]","Person","","","","","","","","4364947","4173986","3925898","3373034",
"Dong area","14 and under","Female[Person]","Person","","","","","","","","3941652","3723119","3564816","3127447",
"Dong area","14 and under","Sex ratio","","","","","","","","","110.74","112.11","110.13","107.9",
"Dong area","15 - 64 Years old","Population[Person]","Person","","","","","","","","25170671","26742553","28100152","29244605",
"Dong area","15 - 64 Years old","Male[Person]","Person","","","","","","","","12694280","13485411","14116892","14693548",
"Dong area","15 - 64 Years old","Female[Person]","Person","","","","","","","","12476391","13257142","13983260","14551057",
"Dong area","15 - 64 Years old","Sex ratio","","","","","","","","","101.75","101.72","100.96","101",
"Dong area","65 Years old","Population[Person]","Person","","","","","","","","1514517","2001341","2746833","3618287",
"Dong area","65 Years old","Male[Person]","Person","","","","","","","","536398","757497","1103122","1492287",
"Dong area","65 Years old","Female[Person]","Person","","","","","","","","978119","1243844","1643711","2126000",
"Dong area","65 Years old","Sex ratio","","","","","","","","","54.84","60.9","67.11","70.2",
"Dong area","Mean age","Population[Person]","Person","","","","","","","","","32","34.44","37",
"Dong area","Mean age","Male[Person]","Person","","","","","","","","","31.1","33.47","35.9",
"Dong area","Mean age","Female[Person]","Person","","","","","","","","","33","35.4","38",
"Dong area","Mean age","Sex ratio","","","","","","","","","","","0","",
"Dong area","Median age","Population[Person]","Person","","","","","","","","","31","33.98","37.1",
"Dong area","Median age","Male[Person]","Person","","","","","","","","","30.3","33.17","36.1",
"Dong area","Median age","Female[Person]","Person","","","","","","","","","31.8","34.77","38",
"Dong area","Median age","Sex ratio","","","","","","","","","","","0","",
"Seoul","Total","Population[Person]","Person","2445402","3793280","5525262","6879464","8350616","9625755","10603250","10217177","9853972","9762546","9631482",
"Seoul","Total","Male[Person]","Person","1222695","1894739","2762190","3425991","4160059","4787720","5321357","5131249","4943550","4837112","4726028",
"Seoul","Total","Female[Person]","Person","1222707","1898541","2763072","3453473","4190557","4838035","5281893","5085928","4910422","4925434","4905454",
"Seoul","Total","Sex ratio","","100","99.8","99.97","99.2","99.27","98.96","100.75","100.89","100.67","98.21","96.3",
"Seoul","0-4 Years old","Population[Person]","Person","309927","472780","682149","815330","821110","837125","784707","725299","588534","440520","397667",
"Seoul","0-4 Years old","Male[Person]","Person","158809","244424","352937","423336","426142","436303","411304","382605","306567","227224","204216",
"Seoul","0-4 Years old","Female[Person]","Person","151118","228356","329212","391994","394968","400822","373403","342694","281967","213296","193451",
"Seoul","0-4 Years old","Sex ratio","","105.09","107.04","107.21","108","107.89","108.85","110.15","111.65","108.72","106.53","105.6",
"Seoul","5-9 Years old","Population[Person]","Person","348813","522981","635026","755015","923626","871738","889348","632543","633717","551159","411886",
"Seoul","5-9 Years old","Male[Person]","Person","179912","270268","330903","393197","481473","456219","465738","332080","335826","286088","212435",
"Seoul","5-9 Years old","Female[Person]","Person","168901","252713","304123","361818","442153","415519","423610","300463","297891","265071","199451",
"Seoul","5-9 Years old","Sex ratio","","106.52","106.95","108.81","108.67","108.89","109.79","109.94","110.52","112.73","107.93","106.5",
"Seoul","10-14 Years old","Population[Person]","Person","242728","441413","669557","741289","857528","1010472","951313","808174","595998","627617","545750",
"Seoul","10-14 Years old","Male[Person]","Person","124451","224346","339327","384011","450004","531530","499389","422540","314958","330769","283502",
"Seoul","10-14 Years old","Female[Person]","Person","118277","217067","330230","357278","407524","478942","451924","385634","281040","296848","262248",
"Seoul","10-14 Years old","Sex ratio","","105.22","103.35","102.75","107.48","110.42","110.98","110.5","109.57","112.07","111.43","108.1",
"Seoul","15-19 Years old","Population[Person]","Person","276672","426060","677785","924019","948231","1020225","1086580","901237","785783","615513","635237",
"Seoul","15-19 Years old","Male[Person]","Person","137948","206095","325988","450784","476117","516707","556656","467366","409327","319877","332292",
"Seoul","15-19 Years old","Female[Person]","Person","138724","219965","351797","473235","472114","503518","529924","433871","376456","295636","302945",
"Seoul","15-19 Years old","Sex ratio","","99.44","93.69","92.66","95.26","100.85","102.62","105.04","107.72","108.73","108.2","109.7",
"Seoul","20-24 Years old","Population[Person]","Person","262568","386674","604715","750205","1048877","1115656","1153161","1127160","958568","873583","684026",
"Seoul","20-24 Years old","Male[Person]","Person","133956","189178","287692","351924","492628","521013","567342","562765","489103","432481","339766",
"Seoul","20-24 Years old","Female[Person]","Person","128612","197496","317023","398281","556249","594643","585819","564395","469465","441102","344260",
"Seoul","20-24 Years old","Sex ratio","","104.16","95.79","90.75","88.36","88.56","87.62","96.85","99.71","104.18","98.05","98.7",
"Seoul","25-29 Years old","Population[Person]","Person","215114","368307","539761","650272","835298","1106786","1146548","1090104","1070432","961652","898900",
"Seoul","25-29 Years old","Male[Person]","Person","98336","183495","272357","317944","410757","550392","572840","554784","542873","476672","439024",
"Seoul","25-29 Years old","Female[Person]","Person","116778","184812","267404","332328","424541","556394","573708","535320","527559","484980","459876",
"Seoul","25-29 Years old","Sex ratio","","84.21","99.29","101.85","95.67","96.75","98.92","99.85","103.64","102.9","98.29","95.5",
"Seoul","30-34 Years old","Population[Person]","Person","181977","298410","468974","556269","683350","822156","1072408","966454","913348","952933","857764",
"Seoul","30-34 Years old","Male[Person]","Person","84832","151554","247884","288823","342322","409493","536406","497746","473806","489312","430797",
"Seoul","30-34 Years old","Female[Person]","Person","97145","146856","221090","267446","341028","412663","536002","468708","439542","463621","426967",
"Seoul","30-34 Years old","Sex ratio","","87.33","103.2","112.12","107.99","100.38","99.23","100.08","106.2","107.8","105.54","100.9",
"Seoul","35-39 Years old","Population[Person]","Person","161588","229655","346973","482196","586891","706989","854589","940145","840686","830360","850730",
"Seoul","35-39 Years old","Male[Person]","Person","82462","113660","179478","251272","300581","347966","422735","459577","418888","419634","429626",
"Seoul","35-39 Years old","Female[Person]","Person","79126","115995","167495","230924","286310","359023","431854","480568","421798","410726","421104",
"Seoul","35-39 Years old","Sex ratio","","104.22","97.99","107.15","108.81","104.98","96.92","97.89","95.63","99.31","102.17","102",
"Seoul","40-44 Years old","Population[Person]","Person","129547","186167","252592","353091","498377","602677","720826","764681","861960","808583","797360",
"Seoul","40-44 Years old","Male[Person]","Person","71557","96075","126709","179827","259921","309735","361825","374944","415283","395787","393950",
"Seoul","40-44 Years old","Female[Person]","Person","57990","90092","125883","173264","238456","292942","359001","389737","446677","412796","403410",
"Seoul","40-44 Years old","Sex ratio","","123.4","106.64","100.66","103.79","109","105.73","100.79","96.2","92.97","95.88","97.7",
"Seoul","45-49 Years old","Population[Person]","Person","99861","145086","204203","254393","364997","499634","592752","644876","696110","824976","784467",
"Seoul","45-49 Years old","Male[Person]","Person","53182","77816","105539","123655","185278","259672","309169","322359","338980","395748","380404",
"Seoul","45-49 Years old","Female[Person]","Person","46679","67270","98664","130738","179719","239962","283583","322517","357130","429228","404063",
"Seoul","45-49 Years old","Sex ratio","","113.93","115.68","106.97","94.58","103.09","108.21","109.02","99.95","94.92","92.2","94.1",
"Seoul","50-54 Years old","Population[Person]","Person","79098","109359","149047","201107","248459","347362","465280","516318","573373","643099","777432",
"Seoul","50-54 Years old","Male[Person]","Person","42471","54423","75489","99835","118615","174317","242946","266372","283863","310182","368872",
"Seoul","50-54 Years old","Female[Person]","Person","36627","54936","73558","101272","129844","173045","222334","249946","289510","332917","408560",
"Seoul","50-54 Years old","Sex ratio","","115.96","99.07","102.63","98.58","91.35","100.74","109.27","106.57","98.05","93.17","90.3",
"Seoul","55-59 Years old","Population[Person]","Person","48713","83697","113676","144598","193320","232465","317042","403244","454483","519936","592471",
"Seoul","55-59 Years old","Male[Person]","Person","22835","39985","52344","68443","90345","105685","157522","206649","230926","254056","283140",
"Seoul","55-59 Years old","Female[Person]","Person","25878","43712","61332","76155","102975","126780","159520","196595","223557","265880","309331",
"Seoul","55-59 Years old","Sex ratio","","88.24","91.47","85.35","89.87","87.73","83.36","98.75","105.11","103.3","95.55","91.5",
"Seoul","60-64 Years old","Population[Person]","Person","34442","50242","80628","106698","132597","172514","206040","265822","345927","401771","468836",
"Seoul","60-64 Years old","Male[Person]","Person","14021","20551","34011","44791","56682","73590","89638","127005","173042","200061","225186",
"Seoul","60-64 Years old","Female[Person]","Person","20421","29691","46617","61907","75915","98924","116402","138817","172885","201710","243650",
"Seoul","60-64 Years old","Sex ratio","","68.66","69.22","72.96","72.35","74.67","74.39","77.01","91.49","100.09","99.18","92.4",
"Seoul","65-69 Years old","Population[Person]","Person","24416","34028","47094","72097","96745","120155","153033","171775","225438","299731","362266",
"Seoul","65-69 Years old","Male[Person]","Person","8768","11960","16804","27568","36129","46963","61743","69853","103738","144309","175236",
"Seoul","65-69 Years old","Female[Person]","Person","15648","22068","30290","44529","60616","73192","91290","101922","121700","155422","187030",
"Seoul","65-69 Years old","Sex ratio","","56.03","54.2","55.48","61.91","59.6","64.16","67.63","68.54","85.24","92.85","93.7",
"Seoul","70-74 Years old","Population[Person]","Person","16040","21406","29286","39288","61990","82822","100680","122622","141387","192942","263697",
"Seoul","70-74 Years old","Male[Person]","Person","5004","6559","8922","12484","21009","27781","36064","45267","54375","83741","121030",
"Seoul","70-74 Years old","Female[Person]","Person","11036","14847","20364","26804","40981","55041","64616","77355","87012","109201","142667",
"Seoul","70-74 Years old","Sex ratio","","45.34","44.18","43.81","46.58","51.27","50.47","55.81","58.52","62.49","76.69","84.8",
"Seoul","75-79 Years old","Population[Person]","Person","7668","11409","15004","20824","30054","48228","63700","74458","92001","114463","159797",
"Seoul","75-79 Years old","Male[Person]","Person","2163","3060","3940","5517","8248","14205","19329","23905","31526","41003","63867",
"Seoul","75-79 Years old","Female[Person]","Person","5505","8349","11064","15307","21806","34023","44371","50553","60475","73460","95930",
"Seoul","75-79 Years old","Sex ratio","","39.29","36.65","35.61","36.04","37.82","41.75","43.56","47.29","52.13","55.82","66.6",
"Seoul","80-84 Years old","Population[Person]","Person","3241","4075","6463","8932","13208","19702","31469","41182","48591","66088","87286",
"Seoul","80-84 Years old","Male[Person]","Person","811","977","1434","1934","2818","4461","8202","10917","14165","20698","27885",
"Seoul","80-84 Years old","Female[Person]","Person","2430","3098","5029","6998","10390","15241","23267","30265","34426","45390","59401",
"Seoul","80-84 Years old","Sex ratio","","33.37","31.54","28.51","27.64","27.12","29.27","35.25","36.07","41.15","45.6","46.9",
"Seoul","85 Years old & over","Population[Person]","Person","1308","1509","2329","3836","5956","8740","13771","21063","27636","37620","55910",
"Seoul","85 Years old & over","Male[Person]","Person","286","291","432","641","988","1391","2507","4500","6304","9470","14800",
"Seoul","85 Years old & over","Female[Person]","Person","1022","1218","1897","3195","4968","7349","11264","16563","21332","28150","41110",
"Seoul","85 Years old & over","Sex ratio","","27.98","23.89","22.77","20.06","19.89","18.93","22.26","27.17","29.55","33.64","36",
"Seoul","Age unknown","Population[Person]","Person","1681","22","","5","2","309","3","20","0","0","",
"Seoul","Age unknown","Male[Person]","Person","891","22","","5","2","297","2","15","0","0","",
"Seoul","Age unknown","Female[Person]","Person","790","","","","","12","1","5","0","0","",
"Seoul","Age unknown","Sex ratio","","112.78","0","","","","2475","200","300","0","0","",
"Seoul","14 and under","Population[Person]","Person","","","","","","","","2166016","1818249","1619296","1355303",
"Seoul","14 and under","Male[Person]","Person","","","","","","","","1137225","957351","844081","700153",
"Seoul","14 and under","Female[Person]","Person","","","","","","","","1028791","860898","775215","655150",
"Seoul","14 and under","Sex ratio","","","","","","","","","110.54","111.2","108.88","106.9",
"Seoul","15 - 64 Years old","Population[Person]","Person","","","","","","","","7620041","7500670","7432406","7347223",
"Seoul","15 - 64 Years old","Male[Person]","Person","","","","","","","","3839567","3776091","3693810","3623057",
"Seoul","15 - 64 Years old","Female[Person]","Person","","","","","","","","3780474","3724579","3738596","3724166",
"Seoul","15 - 64 Years old","Sex ratio","","","","","","","","","101.56","101.38","98.8","97.3",
"Seoul","65 Years old","Population[Person]","Person","","","","","","","","431100","535053","710844","928956",
"Seoul","65 Years old","Male[Person]","Person","","","","","","","","154442","210108","299221","402818",
"Seoul","65 Years old","Female[Person]","Person","","","","","","","","276658","324945","411623","526138",
"Seoul","65 Years old","Sex ratio","","","","","","","","","55.82","64.66","72.69","76.6",
"Seoul","Mean age","Population[Person]","Person","","","","","","","","","33.1","35.45","37.9",
"Seoul","Mean age","Male[Person]","Person","","","","","","","","","32.2","34.6","37",
"Seoul","Mean age","Female[Person]","Person","","","","","","","","","34","36.29","38.8",
"Seoul","Mean age","Sex ratio","","","","","","","","","","","0","",
"Seoul","Median age","Population[Person]","Person","","","","","","","","","31.4","34.27","37.3",
"Seoul","Median age","Male[Person]","Person","","","","","","","","","30.7","33.56","36.5",
"Seoul","Median age","Female[Person]","Person","","","","","","","","","32.3","35.02","38.2",
"Seoul","Median age","Sex ratio","","","","","","","","","","","0","",
"Busan","Total","Population[Person]","Person","","1426019","1876391","2450125","3156931","3512113","3795892","3809618","3655437","3512547","3393191",
"Busan","Total","Male[Person]","Person","","712897","940836","1220466","1568629","1734875","1880724","1898054","1822539","1735860","1664678",
"Busan","Total","Female[Person]","Person","","713122","935555","1229659","1588302","1777238","1915168","1911564","1832898","1776687","1728513",
"Busan","Total","Sex ratio","","","99.97","100.56","99.25","98.76","97.62","98.2","99.29","99.43","97.7","96.3",
"Busan","0-4 Years old","Population[Person]","Person","","182107","247920","309192","342206","330246","268198","256177","203903","141264","124410",
"Busan","0-4 Years old","Male[Person]","Person","","94408","128333","160155","177483","171927","141469","138329","108083","73472","63964",
"Busan","0-4 Years old","Female[Person]","Person","","87699","119587","149037","164723","158319","126729","117848","95820","67792","60446",
"Busan","0-4 Years old","Sex ratio","","","107.65","107.31","107.46","107.75","108.6","111.63","117.38","112.8","108.38","105.8",
"Busan","5-9 Years old","Population[Person]","Person","","213039","228320","284782","361205","346481","342685","246601","243080","199783","139125",
"Busan","5-9 Years old","Male[Person]","Person","","110514","118636","147988","187643","180810","177617","130156","131684","105588","72380",
"Busan","5-9 Years old","Female[Person]","Person","","102525","109684","136794","173562","165671","165068","116445","111396","94195","66745",
"Busan","5-9 Years old","Sex ratio","","","107.79","108.16","108.18","108.11","109.14","107.6","111.77","118.21","112.1","108.4",
"Busan","10-14 Years old","Population[Person]","Person","","186322","241354","266762","332017","372662","359870","333021","237501","240806","199016",
"Busan","10-14 Years old","Male[Person]","Person","","94934","124130","138204","173453","194512","186731","172588","125826","129868","105266",
"Busan","10-14 Years old","Female[Person]","Person","","91388","117224","128558","158564","178150","173139","160433","111675","110938","93750",
"Busan","10-14 Years old","Sex ratio","","","103.88","105.89","107.5","109.39","109.18","107.85","107.58","112.67","117.06","112.3",
"Busan","15-19 Years old","Population[Person]","Person","","154109","224777","325576","368732","389776","408087","362318","323351","240572","242414",
"Busan","15-19 Years old","Male[Person]","Person","","77578","112185","159796","180163","190919","200170","185373","167611","126955","130771",
"Busan","15-19 Years old","Female[Person]","Person","","76531","112592","165780","188569","198857","207917","176945","155740","113617","111643",
"Busan","15-19 Years old","Sex ratio","","","101.37","99.64","96.39","95.54","96.01","96.27","104.76","107.62","111.74","117.1",
"Busan","20-24 Years old","Population[Person]","Person","","122634","182149","264357","380622","380777","392783","391449","341852","301177","227742",
"Busan","20-24 Years old","Male[Person]","Person","","59817","86477","123995","176697","176567","190954","198119","179461","157729","121532",
"Busan","20-24 Years old","Female[Person]","Person","","62817","95672","140362","203925","204210","201829","193330","162391","143448","106210",
"Busan","20-24 Years old","Sex ratio","","","95.22","90.39","88.34","86.65","86.46","94.61","102.48","110.51","109.96","114.4",
"Busan","25-29 Years old","Population[Person]","Person","","124618","167962","225982","316504","383657","374301","339248","314205","275532","247229",
"Busan","25-29 Years old","Male[Person]","Person","","59894","83347","110861","156178","185376","180726","167856","157841","138544","124810",
"Busan","25-29 Years old","Female[Person]","Person","","64724","84615","115121","160326","198281","193575","171392","156364","136988","122419",
"Busan","25-29 Years old","Sex ratio","","","92.54","98.5","96.3","97.41","93.49","93.36","97.94","100.94","101.14","102",
"Busan","30-34 Years old","Population[Person]","Person","","108986","152921","189063","254567","308772","386225","335660","289342","270403","239936",
"Busan","30-34 Years old","Male[Person]","Person","","53815","80073","98873","131548","155985","191389","165766","143751","134932","120088",
"Busan","30-34 Years old","Female[Person]","Person","","55171","72848","90190","123019","152787","194836","169894","145591","135471","119848",
"Busan","30-34 Years old","Sex ratio","","","97.54","109.92","109.63","106.93","102.09","98.23","97.57","98.74","99.6","100.2",
"Busan","35-39 Years old","Population[Person]","Person","","90656","118874","164394","205620","251712","314478","366612","312263","275313","256860",
"Busan","35-39 Years old","Male[Person]","Person","","43732","60404","85976","107439","128273","159247","178804","151565","134250","127090",
"Busan","35-39 Years old","Female[Person]","Person","","46924","58470","78418","98181","123439","155231","187808","160698","141063","129770",
"Busan","35-39 Years old","Sex ratio","","","93.2","103.31","109.64","109.43","103.92","102.59","95.21","94.32","95.17","97.9",
"Busan","40-44 Years old","Population[Person]","Person","","74029","91774","124417","175259","200944","249952","302194","342380","301778","271955",
"Busan","40-44 Years old","Male[Person]","Person","","37723","44917","62759","91396","103941","128261","152119","165640","145001","131701",
"Busan","40-44 Years old","Female[Person]","Person","","36306","46857","61658","83863","97003","121691","150075","176740","156777","140254",
"Busan","40-44 Years old","Sex ratio","","","103.9","95.86","101.79","108.98","107.15","105.4","101.36","93.72","92.49","93.9",
"Busan","45-49 Years old","Population[Person]","Person","","52667","73272","93238","134278","172733","200998","243310","280917","327627","293334",
"Busan","45-49 Years old","Male[Person]","Person","","28320","37104","44309","66644","87909","103506","123176","139077","157242","139961",
"Busan","45-49 Years old","Female[Person]","Person","","24347","36168","48929","67634","84824","97492","120134","141840","170385","153373",
"Busan","45-49 Years old","Sex ratio","","","116.32","102.59","90.56","98.54","103.64","106.17","102.53","98.05","92.29","91.3",
"Busan","50-54 Years old","Population[Person]","Person","","39352","48918","72084","95737","127778","167053","190697","224727","264041","312412",
"Busan","50-54 Years old","Male[Person]","Person","","20270","25231","34936","44328","61818","84498","97014","112040","128974","148927",
"Busan","50-54 Years old","Female[Person]","Person","","19082","23687","37148","51409","65960","82555","93683","112687","135067","163485",
"Busan","50-54 Years old","Sex ratio","","","106.23","106.52","94.05","86.23","93.72","102.35","103.56","99.43","95.49","91.1",
"Busan","55-59 Years old","Population[Person]","Person","","30043","36860","47166","73535","89734","122223","158334","175407","209222","248722",
"Busan","55-59 Years old","Male[Person]","Person","","14700","17508","22386","33232","39279","58153","78422","87807","102848","120219",
"Busan","55-59 Years old","Female[Person]","Person","","15343","19352","24780","40303","50455","64070","79912","87600","106374","128503",
"Busan","55-59 Years old","Sex ratio","","","95.81","90.47","90.34","82.46","77.85","90.76","98.14","100.24","96.69","93.6",
"Busan","60-64 Years old","Population[Person]","Person","","18783","26221","34213","45504","65121","81907","111578","141001","161093","192906",
"Busan","60-64 Years old","Male[Person]","Person","","8031","11444","14426","19615","27220","34339","50834","68023","78719","93348",
"Busan","60-64 Years old","Female[Person]","Person","","10752","14777","19787","25889","37901","47568","60744","72978","82374","99558",
"Busan","60-64 Years old","Sex ratio","","","74.69","77.44","72.91","75.77","71.82","72.19","83.69","93.21","95.56","93.8",
"Busan","65-69 Years old","Population[Person]","Person","","14078","15732","23401","32107","39960","58383","74294","97708","127324","149213",
"Busan","65-69 Years old","Male[Person]","Person","","5088","5755","8906","12022","15688","22843","28984","42472","58947","70620",
"Busan","65-69 Years old","Female[Person]","Person","","8990","9977","14495","20085","24272","35540","45310","55236","68377","78593",
"Busan","65-69 Years old","Sex ratio","","","56.6","57.68","61.44","59.86","64.63","64.27","63.97","76.89","86.21","89.9",
"Busan","70-74 Years old","Population[Person]","Person","","7708","10997","13322","21089","26632","33743","50408","63197","86372","115192",
"Busan","70-74 Years old","Male[Person]","Person","","2340","3359","4085","6793","8647","11931","17784","23018","35369","50461",
"Busan","70-74 Years old","Female[Person]","Person","","5368","7638","9237","14296","17985","21812","32624","40179","51003","64731",
"Busan","70-74 Years old","Sex ratio","","","43.59","43.98","44.22","47.52","48.08","54.7","54.51","57.29","69.35","78",
"Busan","75-79 Years old","Population[Person]","Person","","4954","5177","7858","10764","15197","20380","26494","38185","50713","72906",
"Busan","75-79 Years old","Male[Person]","Person","","1309","1307","2001","2700","4149","5794","8181","12197","17013","27472",
"Busan","75-79 Years old","Female[Person]","Person","","3645","3870","5857","8064","11048","14586","18313","25988","33700","45434",
"Busan","75-79 Years old","Sex ratio","","","35.91","33.77","34.16","33.48","37.55","39.72","44.67","46.93","50.48","60.5",
"Busan","80-84 Years old","Population[Person]","Person","","1348","2453","2999","5226","6676","10034","14191","17050","26871","38632",
"Busan","80-84 Years old","Male[Person]","Person","","302","514","603","1032","1363","2347","3323","4637","7622","11168",
"Busan","80-84 Years old","Female[Person]","Person","","1046","1939","2396","4194","5313","7687","10868","12413","19249","27464",
"Busan","80-84 Years old","Sex ratio","","","28.87","26.51","25.17","24.61","25.65","30.53","30.58","37.36","39.6","40.7",
"Busan","85 Years old & over","Population[Person]","Person","","580","710","1318","1959","3242","4590","7002","9274","12656","21187",
"Busan","85 Years old & over","Male[Person]","Person","","116","112","206","263","487","747","1209","1754","2787","4900",
"Busan","85 Years old & over","Female[Person]","Person","","464","598","1112","1696","2755","3843","5793","7520","9869","16287",
"Busan","85 Years old & over","Sex ratio","","","25","18.73","18.53","15.51","17.68","19.44","20.87","23.32","28.24","30.1",
"Busan","Age unknown","Population[Person]","Person","","6","","1","","13","2","30","94","0","",
"Busan","Age unknown","Male[Person]","Person","","6","","1","","5","2","17","52","0","",
"Busan","Age unknown","Female[Person]","Person","","","","","","8","0","13","42","0","",
"Busan","Age unknown","Sex ratio","","","0","","","","62.5","0","130.77","123.81","0","",
"Busan","14 and under","Population[Person]","Person","","","","","","","","835799","684484","581853","462551",
"Busan","14 and under","Male[Person]","Person","","","","","","","","441073","365593","308928","241610",
"Busan","14 and under","Female[Person]","Person","","","","","","","","394726","318891","272925","220941",
"Busan","14 and under","Sex ratio","","","","","","","","","111.74","114.65","113.19","109.4",
"Busan","15 - 64 Years old","Population[Person]","Person","","","","","","","","2801400","2745445","2626758","2533510",
"Busan","15 - 64 Years old","Male[Person]","Person","","","","","","","","1397483","1372816","1305194","1258447",
"Busan","15 - 64 Years old","Female[Person]","Person","","","","","","","","1403917","1372629","1321564","1275063",
"Busan","15 - 64 Years old","Sex ratio","","","","","","","","","99.54","100.01","98.76","98.7",
"Busan","65 Years old","Population[Person]","Person","","","","","","","","172389","225414","303936","397130",
"Busan","65 Years old","Male[Person]","Person","","","","","","","","59481","84078","121738","164621",
"Busan","65 Years old","Female[Person]","Person","","","","","","","","112908","141336","182198","232509",
"Busan","65 Years old","Sex ratio","","","","","","","","","52.68","59.49","66.82","70.8",
"Busan","Mean age","Population[Person]","Person","","","","","","","","","33.7","36.72","39.7",
"Busan","Mean age","Male[Person]","Person","","","","","","","","","32.5","35.46","38.3",
"Busan","Mean age","Female[Person]","Person","","","","","","","","","34.9","37.95","41",
"Busan","Mean age","Sex ratio","","","","","","","","","","","0","",
"Busan","Median age","Population[Person]","Person","","","","","","","","","32.8","36.54","40.3",
"Busan","Median age","Male[Person]","Person","","","","","","","","","31.4","35.03","38.7",
"Busan","Median age","Female[Person]","Person","","","","","","","","","34.2","38.03","41.8",
"Busan","Median age","Sex ratio","","","","","","","","","","","0","",
"Daegu","Total","Population[Person]","Person","","","","","","2028370","2227979","2445288","2473990","2456016","2431774",
"Daegu","Total","Male[Person]","Person","","","","","","1004564","1112689","1231609","1243681","1227168","1204428",
"Daegu","Total","Female[Person]","Person","","","","","","1023806","1115290","1213679","1230309","1228848","1227346",
"Daegu","Total","Sex ratio","","","","","","","98.12","99.77","101.48","101.09","99.86","98.1",
"Daegu","0-4 Years old","Population[Person]","Person","","","","","","180522","162833","182912","161080","116387","101667",
"Daegu","0-4 Years old","Male[Person]","Person","","","","","","95501","90537","100805","86183","61406","52769",
"Daegu","0-4 Years old","Female[Person]","Person","","","","","","85021","72296","82107","74897","54981","48898",
"Daegu","0-4 Years old","Sex ratio","","","","","","","112.33","125.23","122.77","115.07","111.69","107.9",
"Daegu","5-9 Years old","Population[Person]","Person","","","","","","187072","195327","167673","182301","163193","118717",
"Daegu","5-9 Years old","Male[Person]","Person","","","","","","98329","103023","93394","100692","87135","62518",
"Daegu","5-9 Years old","Female[Person]","Person","","","","","","88743","92304","74279","81609","76058","56199",
"Daegu","5-9 Years old","Sex ratio","","","","","","","110.8","111.61","125.73","123.38","114.56","111.2",
"Daegu","10-14 Years old","Population[Person]","Person","","","","","","213651","208828","208435","170647","187170","167820",
"Daegu","10-14 Years old","Male[Person]","Person","","","","","","113363","109840","110274","95477","103046","89432",
"Daegu","10-14 Years old","Female[Person]","Person","","","","","","100288","98988","98161","75170","84124","78388",
"Daegu","10-14 Years old","Sex ratio","","","","","","","113.04","110.96","112.34","127.01","122.49","114.1",
"Daegu","15-19 Years old","Population[Person]","Person","","","","","","251836","243083","225175","210431","174165","185952",
"Daegu","15-19 Years old","Male[Person]","Person","","","","","","127624","123288","117345","110687","96585","101944",
"Daegu","15-19 Years old","Female[Person]","Person","","","","","","124212","119795","107830","99744","77580","84008",
"Daegu","15-19 Years old","Sex ratio","","","","","","","102.75","102.92","108.82","110.97","124.5","121.4",
"Daegu","20-24 Years old","Population[Person]","Person","","","","","","245975","248475","259636","223873","201912","162748",
"Daegu","20-24 Years old","Male[Person]","Person","","","","","","113923","120605","129250","114971","105665","90988",
"Daegu","20-24 Years old","Female[Person]","Person","","","","","","132052","127870","130386","108902","96247","71760",
"Daegu","20-24 Years old","Sex ratio","","","","","","","86.27","94.32","99.13","105.57","109.79","126.8",
"Daegu","25-29 Years old","Population[Person]","Person","","","","","","214650","230087","237163","224109","189361","169158",
"Daegu","25-29 Years old","Male[Person]","Person","","","","","","107007","113995","119033","110314","94343","84504",
"Daegu","25-29 Years old","Female[Person]","Person","","","","","","107643","116092","118130","113795","95018","84654",
"Daegu","25-29 Years old","Sex ratio","","","","","","","99.41","98.19","100.76","96.94","99.29","99.8",
"Daegu","30-34 Years old","Population[Person]","Person","","","","","","162257","216568","230290","216870","203585","174275",
"Daegu","30-34 Years old","Male[Person]","Person","","","","","","81804","109192","115874","108302","99748","85967",
"Daegu","30-34 Years old","Female[Person]","Person","","","","","","80453","107376","114416","108568","103837","88308",
"Daegu","30-34 Years old","Sex ratio","","","","","","","101.68","101.69","101.27","99.75","96.06","97.3",
"Daegu","35-39 Years old","Population[Person]","Person","","","","","","135153","173322","227719","226003","214342","201620",
"Daegu","35-39 Years old","Male[Person]","Person","","","","","","67589","86553","114062","111612","104879","97863",
"Daegu","35-39 Years old","Female[Person]","Person","","","","","","67564","86769","113657","114391","109463","103757",
"Daegu","35-39 Years old","Sex ratio","","","","","","","100.04","99.75","100.36","97.57","95.81","94.3",
"Daegu","40-44 Years old","Population[Person]","Person","","","","","","111208","139513","176898","221066","223674","217539",
"Daegu","40-44 Years old","Male[Person]","Person","","","","","","55583","70783","89001","110287","110111","105723",
"Daegu","40-44 Years old","Female[Person]","Person","","","","","","55625","68730","87897","110779","113563","111816",
"Daegu","40-44 Years old","Sex ratio","","","","","","","99.92","102.99","101.26","99.56","96.96","94.6",
"Daegu","45-49 Years old","Population[Person]","Person","","","","","","99899","111877","140539","168045","210783","219070",
"Daegu","45-49 Years old","Male[Person]","Person","","","","","","49408","55983","70858","83573","104530","107258",
"Daegu","45-49 Years old","Female[Person]","Person","","","","","","50491","55894","69681","84472","106253","111812",
