"By administrative divisions","By age ","Item","UNIT","1960 Year","1966 Year","1970 Year","1975 Year","1980 Year","1985 Year","1990 Year","1995 Year","2000 Year","2005 Year","2010 Year",
"Whole country","45-49 Years old","Population[Person]","Person","1033761","1116535","1284628","1398820","1781813","2089212","2176890","2464295","2952023","3900899","4073358",
"Whole country","45-49 Years old","Male[Person]","Person","518017","559889","628934","649961","868659","1042989","1100966","1261509","1496104","1961859","2044641",
"Whole country","45-49 Years old","Female[Person]","Person","515744","556646","655694","748859","913154","1046223","1075924","1202786","1455919","1939040","2028717",
"Whole country","45-49 Years old","Sex ratio","","100.44","100.58","95.92","86.79","95.13","99.69","102.33","104.88","102.76","101.18","100.8",
"Whole country","50-54 Years old","Population[Person]","Person","884576","947632","1024535","1197379","1325925","1695259","2010018","2063768","2350250","2855297","3798131",
"Whole country","50-54 Years old","Male[Person]","Person","444283","465588","506554","576664","609166","809619","994511","1028887","1185239","1426597","1887973",
"Whole country","50-54 Years old","Female[Person]","Person","440293","482044","517981","620715","716759","885640","1015507","1034881","1165011","1428700","1910158",
"Whole country","50-54 Years old","Sex ratio","","100.91","96.59","97.79","92.9","84.99","91.42","97.93","99.42","101.74","99.85","98.8",
"Whole country","55-59 Years old","Population[Person]","Person","664538","788723","855041","939205","1125353","1267757","1622853","1913461","1968472","2278438","2766695",
"Whole country","55-59 Years old","Male[Person]","Person","318745","376426","407895","449224","521797","560580","760993","923625","959680","1126997","1360747",
"Whole country","55-59 Years old","Female[Person]","Person","345793","412297","447146","489981","603556","707177","861860","989836","1008792","1151441","1405948",
"Whole country","55-59 Years old","Sex ratio","","92.18","91.3","91.22","91.68","86.45","79.27","88.3","93.31","95.13","97.88","96.8",
"Whole country","60-64 Years old","Population[Person]","Person","566571","550953","665258","737552","822057","1006876","1157059","1495082","1788849","1888853","2182236",
"Whole country","60-64 Years old","Male[Person]","Person","257447","248035","302362","334479","373222","440387","494845","673719","836465","897384","1057035",
"Whole country","60-64 Years old","Female[Person]","Person","309124","302918","362896","403073","448835","566489","662214","821363","952384","991469","1125201",
"Whole country","60-64 Years old","Sex ratio","","83.28","81.88","83.32","82.98","83.15","77.74","74.73","82.02","87.83","90.51","93.9",
"Whole country","65-69 Years old","Population[Person]","Person","404732","437384","434715","542827","620283","722817","900314","1043979","1376122","1680067","1812168",
"Whole country","65-69 Years old","Male[Person]","Person","174206","182750","181431","229780","260597","306710","375752","420873","593974","755949","833242",
"Whole country","65-69 Years old","Female[Person]","Person","230526","254634","253284","313047","359686","416107","524562","623106","782148","924118","978926",
"Whole country","65-69 Years old","Sex ratio","","75.57","71.77","71.63","73.4","72.45","73.71","71.63","67.54","75.94","81.8","85.1",
"Whole country","70-74 Years old","Population[Person]","Person","297002","267288","315444","325213","425096","501254","595116","762544","918121","1252734","1566014",
"Whole country","70-74 Years old","Male[Person]","Person","120719","104987","120835","123219","161867","190553","233308","293696","348226","514241","672894",
"Whole country","70-74 Years old","Female[Person]","Person","173283","162301","194609","201994","263229","310701","361808","468848","569895","738493","893120",
"Whole country","70-74 Years old","Sex ratio","","69.67","64.69","62.09","61","61.49","61.33","64.48","62.64","61.1","69.63","75.3",
"Whole country","75-79 Years old","Population[Person]","Person","140663","171669","175416","204290","229286","312090","377171","455673","600598","766870","1084367",
"Whole country","75-79 Years old","Male[Person]","Person","55635","62232","60931","68241","74175","103513","127905","160498","211347","270632","410726",
"Whole country","75-79 Years old","Female[Person]","Person","85028","109437","114485","136049","155111","208577","249266","295175","389251","496238","673641",
"Whole country","75-79 Years old","Sex ratio","","65.43","56.87","53.22","50.16","47.82","49.63","51.31","54.37","54.3","54.54","61",
"Whole country","80-84 Years old","Population[Person]","Person","68440","59630","83836","90917","118207","137660","195312","246191","303759","432259","595509",
"Whole country","80-84 Years old","Male[Person]","Person","25744","20423","26355","26304","31546","36163","54861","71267","94135","136705","186008",
"Whole country","80-84 Years old","Female[Person]","Person","42696","39207","57481","64613","86661","101497","140451","174924","209624","295554","409501",
"Whole country","80-84 Years old","Sex ratio","","60.3","52.09","45.85","40.71","36.4","35.63","39.06","40.74","44.91","46.25","45.4",
"Whole country","85 Years old & over","Population[Person]","Person","24169","25348","29967","43352","53242","75728","94326","131818","173206","233288","366609",
"Whole country","85 Years old & over","Male[Person]","Person","8186","7932","8526","10843","11296","15140","18830","28370","39715","58819","94736",
"Whole country","85 Years old & over","Female[Person]","Person","15983","17416","21441","32509","41946","60588","75496","103448","133491","174469","271873",
"Whole country","85 Years old & over","Sex ratio","","51.22","45.54","39.76","33.35","26.93","24.99","24.94","27.42","29.75","33.71","34.8",
"Whole country","Age unknown","Population[Person]","Person","15089","100","","6","6","420","102","409","1868","0","",
"Whole country","Age unknown","Male[Person]","Person","7350","97","","6","4","338","47","217","1152","0","",
"Whole country","Age unknown","Female[Person]","Person","7739","3","","","2","82","55","192","716","0","",
"Whole country","Age unknown","Sex ratio","","94.97","3233.33","","","200","412.2","85.45","113.02","160.89","0","",
"Whole country","14 and under","Population[Person]","Person","","","","","","","","10235504","9638756","8986128","7786973",
"Whole country","14 and under","Male[Person]","Person","","","","","","","","5362073","5087625","4707847","4040478",
"Whole country","14 and under","Female[Person]","Person","","","","","","","","4873431","4551131","4278281","3746495",
"Whole country","14 and under","Sex ratio","","","","","","","","","110.03","111.79","110.04","107.8",
"Whole country","15 - 64 Years old","Population[Person]","Person","","","","","","","","31677592","32972859","33690088","34779121",
