"By administrative divisions","1960 Year","1966 Year","1970 Year","1975 Year","1980 Year","1985 Year","1990 Year","1995 Year","2000 Year","2005 Year","2010 Year","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year"
"Whole country",24989241,29159640,31435252,34678972,37406815,40419652,43390374,44553710,45985289,47041434,47990761,51069375,51269554,51422507,51629512,51779203,51829136,51738071
"Seoul",2445402,3793280,5525262,6879464,8350616,9625755,10603250,10217177,9853972,9762546,9631482,9904312,9805506,9741871,9673936,9639541,9586195,9472127
